company_name,company_domain,company_category
VISHNU PRAKASH R PUNGLIA LIMITED,vprp.co.in,CAT A
TRINEVA INFRA PROJECTS PRIVATE LIMITED,trineva.in,CAT A
VISION SPONGE IRON PRIVATE LIMITED,visionsponge.com,CAT A
VISNUKUMAR TRADERS PRIVATE LIMITED,vktpl.com,CAT A
RAMESWAR UDYOG PRIVATE LIMITED,rameswar.com,CAT A
ZF COMMERCIAL VEHICLE CONTROL SYSTEMS INDIA LIMITED,wabco-auto.com,CAT A
ZF RANE AUTOMOTIVE INDIA PRIVATE LIMITED,ranegroup.co.in,CAT A
RIMJHIM ISPAT LIMITED,rimjhimispat.com,CAT A
TIGER ANALYTICS INDIA CONSULTING PRIVATE LIMITED,tigeranalytics.com,CAT A
ZERODHA BROKING LIMITED,zerodha.com,CAT A
RAGHUVIR EXIM LIMITED,raghuvirexim.com,CAT A
RHI MAGNESITA INDIA LIMITED,rhimagnesitaindia.com,CAT A
INTEGRA ENGINEERING INDIA LIMITED,integraengineering.in,CAT A
IPG ASIA PRIVATE LIMITED,powerband.in/www.itape.com,CAT A
IDL EXPLOSIVES LIMITED,idlexplosives.com,CAT A
INVENIRE PETRODYNE LIMITED,invenireenergy.com,CAT A
AMAPAI CORPORATION INDIA PRIVATE LIMITED,amagasaki-pipe.co.th,CAT A
COPMED PHARMACEUTICALS PRIVATE LIMITED,copmedpharma.com,CAT A
CORTEVA AGRISCIENCE INDIA PRIVATE LIMITED,corteva.com,CAT A
COMPASS INDIA FOOD SERVICES PRIVATE LIMITED,compass-group.co.in,CAT A
CLAD METAL INDIA PRIVATE LIMITED,kalegroup.co.in,CAT A
CSCI STEEL CORPORATION INDIA PRIVATE LIMITED,csci.co.in,CAT A
BRAHMAPUTRA CRACKER AND POLYMER LIMITED,bcplonline.co.in,CAT A
CAVENDISH INDUSTRIES LIMITED,jktyre.com,CAT A
CBA SERVICES PRIVATE LIMITED,cba.com.au,CAT A
KALPSUTRA CHEMICALS PRIVATE LIMITED,kalpsutra.com,CAT A
CREST SPECIALITY RESINS PRIVATE LIMITED,crestcomposites.com,CAT A
DEVASHREE ISPAT PRIVATE LIMITED,shreetmt.com,CAT A
EXOTECH PLASTICS PRIVATE LIMITED,exotechzanini.com,CAT A
EXPERION CAPITAL PRIVATE LIMITED,experioncapital.co.in,CAT A
JIVAGRO LIMITED,jivagro.com,CAT A
GUJARAT STATE PETRONET LIMITED,gspcgroup.com,CAT A
GUJJADI SWARNA JEWELLERS PRIVATE LIMITED,gujjadi.com,CAT A
STAR CEMENT MEGHALAYA LIMITED,cmcl.co.in,CAT A
MARELLI MOTHERSON AUTOMOTIVE LIGHTING INDIA PRIVATE LIMITED,motherson.com,CAT A
MARELLI POWERTRAIN INDIA PRIVATE LIMITED,magnetimarelli.com,CAT A
EPL LIMITED,eplglobal.com,CAT A
K I C METALIKS LIMITED,kicmetaliks.com,CAT A
L H SUGAR FACTORIES LIMITED,lhsugar.in,CAT A
MODENIK LIFESTYLE PRIVATE LIMITED,dixcy.co.in,CAT A
NTPC TAMIL NADU ENERGY COMPANY LIMITED,ntpcntecljv.co.in,CAT A
OC SPECIALITIES PRIVATE LIMITED,ocspl.com,CAT A
O2 POWER PRIVATE LIMITED,o2power.in,CAT A
MANAKSIA STEELS LIMITED,manaksiasteels.com,CAT A
MAHIMA FIBRES PRIVATE LIMITED,mahimacotton.com,CAT A
KRISHNA COIL CUTTERS PRIVATE LIMITED,krishnacoilcutters.com,CAT A
KARAM SAFETY PRIVATE LIMITED,karami.in,CAT A
KRITI NUTRIENTS LIMITED,kritinutrients.com,CAT A
MADHAV STELCO PRIVATE LIMITED,madhavstelco.com,CAT A
POWERGRID WARORA TRANSMISSION LIMITED,powergridindia.com,CAT A
ASHOKA KARADI BANWARA ROAD PRIVATE LIMITED,ashokakaradi.com,CAT A
AUSOM ENTERPRISE LIMITED,ausom.in,CAT A
BRILLON CONSUMER PRODUCTS PRIVATE LIMITED,scjohnson.com,CAT A
AL AMMAR FROZEN FOODS EXPORTS PRIVATE LIMITED,al-ammar.in,CAT A
AGARWAL FUEL CORPORATION PRIVATE LIMITED,agarwalcoal.com,CAT A
AGARWAL INDUSTRIAL CORPORATION LIMITED,aicltd.in,CAT A
BERRY ALLOYS LIMITED,berryalloys.in,CAT A
GOYAL VEGOILS LIMITED,goyalglobal.com,CAT A
GRANT THORNTON BHARAT LLP,grantthornton.in,CAT A
GND ISPAT PRIVATE LIMITED,kediasteels.com,CAT A
PREMIER TOBACCO PACKERS PRIVATE LIMITED,bbmbommidala.com,CAT A
GOLDIAM JEWELLERY LIMITED,goldiam.com,CAT A
HANSA METALLICS LIMITED,hansametallics.com,CAT A
HAZIRA PORT PRIVATE LIMITED,haziralng.com,CAT A
ENTRATA INDIA PRIVATE LIMITED,entrata.in,CAT A
NEZONE STRIPS LIMITED,nezonegroup.com,CAT A
ORCH LABORATORIES INDIA PRIVATE LIMITED,orchlabs.com,CAT A
OSTRO KUTCH WIND PRIVATE LIMITED,renewpower.in,CAT A
RIJ ENGINEERING PRIVATE LIMITED,rjjeng.in,CAT A
MYSORE SALES INTERNATIONAL LIMITED,msilonline.com,CAT A
PRABHAT GLOBAL COLOURCOATED PRIVATE LIMITED,prabhatglobal.com,CAT A
NANI AGROFOODS PRIVATE LIMITED,naf.in,CAT A
NAKODA DAIRY PRIVATE LIMITED,nakodadairy.com,CAT A
PATAKA INDUSTRIES PRIVATE LIMITED,eastendsilksindia.com,CAT A
KALYANI TRANSMISSION TECHNOLOGIES PRIVATE LIMITED,kalyanitransmissiontechnology.com,CAT A
DAYAL FERTILIZERS PRIVATE LIMITED,dayalgroup.com,CAT A
DAINICHI COLOR INDIA PRIVATE LIMITED,daicolor.co.jp,CAT A
INDIANOIL TOTAL PRIVATE LIMITED,itpl.net,CAT A
GEBBS HEALTHCARE SOLUTIONS PRIVATE LIMITED,gebbs.com,CAT A
MYLAN PHARMACEUTICALS PRIVATE LIMITED,mylan.com,CAT A
MONDELEZ INDIA FOODS PRIVATE LIMITED,mondelezinternational.com,SUPER A
PAHARPUR COOLING TOWERS LTD,paharpur.com,SUPER A
POWERICA LIMITED,powericaltd.com,SUPER A
ROCKMAN INDUSTRIES LIMITED,rockman.in,SUPER A
AMBA RIVER COKE LIMITED,jsw.in,SUPER A
HUBERGROUP INDIA PRIVATE LIMITED,hubergroup.in,SUPER A
