company_name,company_domain,company_category
FLYJAC LOGISTICS PRIVATE LIMITED,flyjaclogistics.com,CAT A
MEDREICH LIMITED,medreich.com,CAT A
LEAR AUTOMOTIVE INDIA PRIVATE LIMITED,lear.com,CAT A
ALLANASONS PRIVATE LIMITED,allanagroup.in,CAT A
HINDUSTAN GUM AND CHEMICALS LIMITED,hindustangum.com,CAT A
INOX AIR PRODUCTS PRIVATE LIMITED,inoxairproducts.com,CAT A
LUBRIZOL INDIA PRIVATE LIMITED,lubrizol.com,CAT A
NECTAR LIFE SCIENCES LIMITED,neclife.com,CAT A
LOTUS DAIRY PRODUCTS PRIVATE LIMITED,lotusdairy.com,CAT A
MCCAIN FOODS INDIA PRIVATE LIMITED,mccainindia.com,CAT A
INTERTEK INDIA PRIVATE LIMITED,intertek.com,CAT A
PERFETTI VAN MELLE INDIA PRIVATE LIMITED,perfettivanmelle.in,CAT A
TCG LIFESCIENCES PRIVATE LIMITED,tcgls.com,CAT A
HIND TERMINALS PRIVATE LIMITED,hindterminals.com,CAT A
PRIMETALS TECHNOLOGIES INDIA PRIVATE LIMITED,primetals.com,CAT A
CJ DARCL LOGISTICS LIMITED,darcl.com,CAT A
EVERBLUE APPAREL LIMITED,raymondindia.com,CAT A
CWT INDIA PRIVATE LIMITED,carlsonwagonlit.com,CAT A
DENSO HARYANA PRIVATE LIMITED,denso.com,CAT A
SABARMATI GAS LIMITED,sabarmatigas.in,CAT A
ENCUBE ETHICALS PRIVATE LIMITED,encubeethicals.com,CAT A
GLOVIS INDIA PRIVATE LIMITED,glovis.co.in,CAT A
AMMANN INDIA PRIVATE LIMITED,ammann.com,CAT A
FAURECIA INDIA PRIVATE LIMITED,faurecia.com,CAT A
MERIL LIFE SCIENCES PRIVATE LIMITED,merillife.com,CAT A
SUDHIR POWER LIMITED,sudhirpower.com,CAT A
HERBALIFE INTERNATIONAL INDIA PRIVATE LIMITED,herbalife.co.in,CAT A
EXPRESS INFRASTRUCTURE PRIVATE LIMITED,expressinfrastructure.com,CAT A
HALDI RAM PRODUCTS PRIVATE LIMITED,haldiramsonline.com,CAT A
INDIANOIL SKYTANKING PRIVATE LIMITED,indianoilskytanking.co.in,CAT A
JOTUN INDIA PRIVATE LIMITED,jotun.com,CAT A
HERE SOLUTIONS INDIA PRIVATE LIMITED,here.com,CAT A
